ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate
731,"ML Road Frame - Red, 44",FR-R72R-44,Red,352.1394,594.8300,44,1006.97,18,16,2005-07-01 00:00:00,2006-06-30 00:00:00,
732,"ML Road Frame - Red, 48",FR-R72R-48,Red,352.1394,594.8300,48,1025.11,18,16,2005-07-01 00:00:00,2006-06-30 00:00:00,
733,"ML Road Frame - Red, 52",FR-R72R-52,Red,352.1394,594.8300,52,1043.26,18,16,2005-07-01 00:00:00,2006-06-30 00:00:00,
734,"ML Road Frame - Red, 58",FR-R72R-58,Red,352.1394,594.8300,58,1070.47,18,16,2005-07-01 00:00:00,2006-06-30 00:00:00,
735,"ML Road Frame - Red, 60",FR-R72R-60,Red,352.1394,594.8300,60,1079.54,18,16,2005-07-01 00:00:00,2006-06-30 00:00:00,
749,"Road-150 Red, 62",BK-R93R-62,Red,2171.2942,3578.2700,62,6803.85,6,25,2005-07-01 00:00:00,2006-06-30 00:00:00,
750,"Road-150 Red, 44",BK-R93R-44,Red,2171.2942,3578.2700,44,6245.93,6,25,2005-07-01 00:00:00,2006-06-30 00:00:00,
751,"Road-150 Red, 48",BK-R93R-48,Red,2171.2942,3578.2700,48,6409.23,6,25,2005-07-01 00:00:00,2006-06-30 00:00:00,
752,"Road-150 Red, 52",BK-R93R-52,Red,2171.2942,3578.2700,52,6540.77,6,25,2005-07-01 00:00:00,2006-06-30 00:00:00,
753,"Road-150 Red, 56",BK-R93R-56,Red,2171.2942,3578.2700,56,6658.70,6,25,2005-07-01 00:00:00,2006-06-30 00:00:00,
754,"Road-450 Red, 58",BK-R68R-58,Red,884.7083,1457.9900,58,8069.37,6,28,2005-07-01 00:00:00,2006-06-30 00:00:00,
755,"Road-450 Red, 60",BK-R68R-60,Red,884.7083,1457.9900,60,8119.26,6,28,2005-07-01 00:00:00,2006-06-30 00:00:00,
756,"Road-450 Red, 44",BK-R68R-44,Red,884.7083,1457.9900,44,7606.70,6,28,2005-07-01 00:00:00,2006-06-30 00:00:00,
757,"Road-450 Red, 48",BK-R68R-48,Red,884.7083,1457.9900,48,7770.00,6,28,2005-07-01 00:00:00,2006-06-30 00:00:00,
758,"Road-450 Red, 52",BK-R68R-52,Red,884.7083,1457.9900,52,7901.54,6,28,2005-07-01 00:00:00,2006-06-30 00:00:00,
759,"Road-650 Red, 58",BK-R50R-58,Red,486.7066,782.9900,58,8976.55,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
760,"Road-650 Red, 60",BK-R50R-60,Red,486.7066,782.9900,60,9026.44,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
761,"Road-650 Red, 62",BK-R50R-62,Red,486.7066,782.9900,62,9071.80,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
762,"Road-650 Red, 44",BK-R50R-44,Red,486.7066,782.9900,44,8513.88,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
763,"Road-650 Red, 48",BK-R50R-48,Red,486.7066,782.9900,48,8677.18,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
764,"Road-650 Red, 52",BK-R50R-52,Red,486.7066,782.9900,52,8808.72,6,30,2005-07-01 00:00:00,2007-06-30 00:00:00,
789,"Road-250 Red, 44",BK-R89R-44,Red,1518.7864,2443.3500,44,6699.52,6,26,2006-07-01 00:00:00,2007-06-30 00:00:00,
790,"Road-250 Red, 48",BK-R89R-48,Red,1518.7864,2443.3500,48,6862.82,6,26,2006-07-01 00:00:00,2007-06-30 00:00:00,
791,"Road-250 Red, 52",BK-R89R-52,Red,1518.7864,2443.3500,52,6994.36,6,26,2006-07-01 00:00:00,2007-06-30 00:00:00,
792,"Road-250 Red, 58",BK-R89R-58,Red,1554.9479,2443.3500,58,7162.19,6,26,2006-07-01 00:00:00,,
