ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate
820,HL Road Front Wheel,FW-R820,Black,146.5466,330.0600,,650.00,21,51,2006-07-01 00:00:00,2007-06-30 00:00:00,
821,Touring Front Wheel,FW-T905,Black,96.7964,218.0100,,,21,44,2006-07-01 00:00:00,2007-06-30 00:00:00,
823,LL Mountain Rear Wheel,RW-M423,Black,38.9588,87.7450,,,21,123,2006-07-01 00:00:00,2007-06-30 00:00:00,
824,ML Mountain Rear Wheel,RW-M762,Black,104.7951,236.0250,,,21,124,2006-07-01 00:00:00,2007-06-30 00:00:00,
825,HL Mountain Rear Wheel,RW-M928,Black,145.2835,327.2150,,,21,125,2006-07-01 00:00:00,2007-06-30 00:00:00,
826,LL Road Rear Wheel,RW-R623,Black,49.9789,112.5650,,1050.00,21,126,2006-07-01 00:00:00,2007-06-30 00:00:00,
827,ML Road Rear Wheel,RW-R762,Black,122.2709,275.3850,,1000.00,21,77,2006-07-01 00:00:00,2007-06-30 00:00:00,
828,HL Road Rear Wheel,RW-R820,Black,158.5346,357.0600,,890.00,21,78,2006-07-01 00:00:00,2007-06-30 00:00:00,
829,Touring Rear Wheel,RW-T905,Black,108.7844,245.0100,,,21,43,2006-07-01 00:00:00,2007-06-30 00:00:00,
830,"ML Mountain Frame - Black, 40",FR-M63B-40,Black,185.8193,348.7600,40,1256.44,16,14,2006-07-01 00:00:00,2007-06-30 00:00:00,
831,"ML Mountain Frame - Black, 44",FR-M63B-44,Black,185.8193,348.7600,44,1274.59,16,14,2006-07-01 00:00:00,2007-06-30 00:00:00,
832,"ML Mountain Frame - Black, 48",FR-M63B-48,Black,185.8193,348.7600,48,1292.73,16,14,2006-07-01 00:00:00,2007-06-30 00:00:00,
837,"HL Road Frame - Black, 62",FR-R92B-62,Black,868.6342,1431.5000,62,1043.26,18,6,2006-07-01 00:00:00,,
838,"HL Road Frame - Black, 44",FR-R92B-44,Black,868.6342,1431.5000,44,961.61,18,6,2006-07-01 00:00:00,,
839,"HL Road Frame - Black, 48",FR-R92B-48,Black,868.6342,1431.5000,48,979.75,18,6,2006-07-01 00:00:00,,
840,"HL Road Frame - Black, 52",FR-R92B-52,Black,868.6342,1431.5000,52,997.90,18,6,2006-07-01 00:00:00,,
841,"Men's Sports Shorts, S",SH-M897-S,Black,24.7459,59.9900,S,,26,13,2006-07-01 00:00:00,2007-06-30 00:00:00,
849,"Men's Sports Shorts, M",SH-M897-M,Black,24.7459,59.9900,M,,26,13,2006-07-01 00:00:00,2007-06-30 00:00:00,
850,"Men's Sports Shorts, L",SH-M897-L,Black,24.7459,59.9900,L,,26,13,2006-07-01 00:00:00,2007-06-30 00:00:00,
851,"Men's Sports Shorts, XL",SH-M897-X,Black,24.7459,59.9900,XL,,26,13,2006-07-01 00:00:00,2007-06-30 00:00:00,
852,"Women's Tights, S",TG-W091-S,Black,30.9334,74.9900,S,,28,38,2006-07-01 00:00:00,2007-06-30 00:00:00,
853,"Women's Tights, M",TG-W091-M,Black,30.9334,74.9900,M,,28,38,2006-07-01 00:00:00,2007-06-30 00:00:00,
854,"Women's Tights, L",TG-W091-L,Black,30.9334,74.9900,L,,28,38,2006-07-01 00:00:00,2007-06-30 00:00:00,
858,"Half-Finger Gloves, S",GL-H102-S,Black,9.1593,24.4900,S,,24,4,2006-07-01 00:00:00,,
859,"Half-Finger Gloves, M",GL-H102-M,Black,9.1593,24.4900,M,,24,4,2006-07-01 00:00:00,,
860,"Half-Finger Gloves, L",GL-H102-L,Black,9.1593,24.4900,L,,24,4,2006-07-01 00:00:00,,
861,"Full-Finger Gloves, S",GL-F110-S,Black,15.6709,37.9900,S,,24,3,2006-07-01 00:00:00,2007-06-30 00:00:00,
862,"Full-Finger Gloves, M",GL-F110-M,Black,15.6709,37.9900,M,,24,3,2006-07-01 00:00:00,2007-06-30 00:00:00,
863,"Full-Finger Gloves, L",GL-F110-L,Black,15.6709,37.9900,L,,24,3,2006-07-01 00:00:00,2007-06-30 00:00:00,
867,"Women's Mountain Shorts, S",SH-W890-S,Black,26.1763,69.9900,S,,26,37,2007-07-01 00:00:00,,
868,"Women's Mountain Shorts, M",SH-W890-M,Black,26.1763,69.9900,M,,26,37,2007-07-01 00:00:00,,
869,"Women's Mountain Shorts, L",SH-W890-L,Black,26.1763,69.9900,L,,26,37,2007-07-01 00:00:00,,
924,"LL Mountain Frame - Black, 42",FR-M21B-42,Black,136.7850,249.7900,42,1324.48,16,8,2007-07-01 00:00:00,,
925,"LL Mountain Frame - Black, 44",FR-M21B-44,Black,136.7850,249.7900,44,1342.63,16,8,2007-07-01 00:00:00,,
926,"LL Mountain Frame - Black, 48",FR-M21B-48,Black,136.7850,249.7900,48,1360.77,16,8,2007-07-01 00:00:00,,
927,"LL Mountain Frame - Black, 52",FR-M21B-52,Black,136.7850,249.7900,52,1378.91,16,8,2007-07-01 00:00:00,,
943,"LL Mountain Frame - Black, 40",FR-M21B-40,Black,136.7850,249.7900,40,1306.34,16,8,2007-07-01 00:00:00,,
949,LL Crankset,CS-4759,Black,77.9176,175.4900,,600.00,12,99,2007-07-01 00:00:00,,
950,ML Crankset,CS-6583,Black,113.8816,256.4900,,635.00,12,100,2007-07-01 00:00:00,,
951,HL Crankset,CS-9183,Black,179.8156,404.9900,,575.00,12,101,2007-07-01 00:00:00,,
977,"Road-750 Black, 58",BK-R19B-58,Black,343.6496,539.9900,58,9430.14,6,31,2007-07-01 00:00:00,,
989,"Mountain-500 Black, 40",BK-M18B-40,Black,294.5797,539.9900,40,12405.69,5,23,2007-07-01 00:00:00,,
990,"Mountain-500 Black, 42",BK-M18B-42,Black,294.5797,539.9900,42,12596.19,5,23,2007-07-01 00:00:00,,
991,"Mountain-500 Black, 44",BK-M18B-44,Black,294.5797,539.9900,44,12759.49,5,23,2007-07-01 00:00:00,,
992,"Mountain-500 Black, 48",BK-M18B-48,Black,294.5797,539.9900,48,12891.03,5,23,2007-07-01 00:00:00,,
993,"Mountain-500 Black, 52",BK-M18B-52,Black,294.5797,539.9900,52,13008.96,5,23,2007-07-01 00:00:00,,
997,"Road-750 Black, 44",BK-R19B-44,Black,343.6496,539.9900,44,8967.47,6,31,2007-07-01 00:00:00,,
998,"Road-750 Black, 48",BK-R19B-48,Black,343.6496,539.9900,48,9130.77,6,31,2007-07-01 00:00:00,,
999,"Road-750 Black, 52",BK-R19B-52,Black,343.6496,539.9900,52,9262.31,6,31,2007-07-01 00:00:00,,
