Empresas,Frutas,Cliente,Cantidad (Kg),Año,VENTAS_Canada(KG),VENTAS_China(KG),VENTAS_EE.UU.(KG),VENTAS_España(KG),VENTAS_Francia(KG)
FruPeru,ArÃ¡ndanos,J&T Exportadores,1099,2018,3,3,5,2,3
Alfa,Mango,Exportadores Mundiales,2277,2020,1,4,4,2,2
AgroLatina,Palta,Exportadores Mundiales,1619,2014,4,4,1,1,3
Alfa,Platano,Mercado Mundial,2020,2010,1,4,3,2,2
VirPeru,Mango,Mercado Mundial,835,2019,3,4,1,3,2
Alfa,Mango,J&T Exportadores,1168,2012,2,3,1,1,3
PeruExport,Palta,America Exportadores,2345,2019,4,4,2,1,3
America,ArÃ¡ndanos,J&T Exportadores,828,2016,2,3,4,3,2
FruPeru,ArÃ¡ndanos,Europa Exportadores,1796,2012,2,3,3,1,3
VirPeru,Mango,Europa Exportadores,871,2010,4,3,2,1,2
AgroLatina,Palta,J&T Exportadores,1332,2014,4,3,2,2,2
AgroPro,Platano,Exportadores Mundiales,1410,2020,5,4,5,3,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,2123,2016,1,4,1,2,2
PeruExport,Naranja,J&T Exportadores,2136,2016,1,3,5,1,3
AgroLatina,Uva,Exportadores Mundiales,1122,2016,2,3,3,1,3
America,Mandarina,America Exportadores,1329,2017,4,3,2,1,2
AgroPro,Palta,America Exportadores,1621,2013,2,3,5,3,3
AgroPro,Uva,America Exportadores,1480,2012,4,4,2,1,2
AgroLatina,Platano,Mercado Mundial,1486,2012,1,4,2,3,2
VirPeru,Platano,America Exportadores,1502,2012,2,3,5,1,3
PeruExport,Platano,Exportadores Mundiales,2371,2020,5,3,2,1,3
Alfa,Naranja,J&T Exportadores,896,2019,1,4,1,3,2
PeruExport,Naranja,J&T Exportadores,1271,2013,4,3,1,1,3
PeruExport,Mango,Mercado Mundial,1482,2019,1,4,4,2,2
AgroPro,Mango,Europa Exportadores,942,2013,1,3,1,2,2
AgroLatina,Mango,Exportadores Mundiales,1438,2015,5,4,1,1,2
VirPeru,Naranja,Europa Exportadores,1927,2011,5,4,5,3,2
Alfa,Palta,America Exportadores,1986,2012,1,3,3,3,2
PeruExport,Uva,J&T Exportadores,2249,2015,5,3,2,2,3
Alfa,Uva,America Exportadores,1532,2014,3,4,4,2,2
Alfa,ArÃ¡ndanos,America Exportadores,1378,2017,3,3,5,1,2
FruPeru,Platano,Exportadores Mundiales,992,2010,5,4,4,2,3
FruPeru,Mango,J&T Exportadores,1849,2017,5,4,5,2,3
FruPeru,Naranja,Mercado Mundial,1321,2011,1,3,3,2,3
FruPeru,Mango,America Exportadores,1193,2010,2,4,1,1,2
AgroPro,Mango,J&T Exportadores,1958,2011,1,4,3,3,3
Alfa,Naranja,Europa Exportadores,1014,2019,5,3,3,1,3
FruPeru,Mandarina,Exportadores Mundiales,805,2016,1,4,4,3,3
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,2070,2015,1,3,3,2,2
FruPeru,Naranja,America Exportadores,1165,2016,4,4,5,1,3
AgroPro,Mango,America Exportadores,861,2011,3,3,1,2,3
VirPeru,Mango,Europa Exportadores,1472,2014,1,4,2,2,2
VirPeru,Platano,Exportadores Mundiales,2229,2014,5,3,3,1,2
America,Mandarina,J&T Exportadores,1184,2020,5,4,4,1,3
America,Naranja,America Exportadores,987,2020,5,3,3,3,2
FruPeru,Palta,Exportadores Mundiales,839,2010,2,4,1,3,3
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,924,2013,1,3,2,1,2
America,Uva,Europa Exportadores,2190,2019,4,4,2,2,3
Alfa,ArÃ¡ndanos,J&T Exportadores,1301,2018,3,3,1,1,2
VirPeru,Uva,Exportadores Mundiales,1143,2011,1,3,4,3,2
FruPeru,Platano,Exportadores Mundiales,1351,2014,3,4,3,2,2
America,Naranja,Europa Exportadores,977,2015,3,4,4,1,2
AgroPro,ArÃ¡ndanos,J&T Exportadores,1615,2019,4,3,4,1,3
Alfa,Platano,Exportadores Mundiales,1810,2019,3,3,3,3,3
AgroPro,Mandarina,Exportadores Mundiales,1139,2012,2,4,2,2,2
FruPeru,Mango,J&T Exportadores,1204,2013,1,4,3,3,3
PeruExport,Mandarina,Mercado Mundial,907,2018,2,4,5,1,2
AgroPro,Naranja,J&T Exportadores,884,2019,5,3,1,3,2
America,Mango,Mercado Mundial,1918,2019,1,4,5,2,3
America,Palta,America Exportadores,1767,2019,4,4,3,2,2
AgroLatina,Naranja,J&T Exportadores,951,2017,5,4,3,3,2
America,Palta,Europa Exportadores,2398,2020,1,3,3,3,2
America,Platano,Exportadores Mundiales,1036,2018,4,3,4,3,2
PeruExport,Mandarina,Exportadores Mundiales,1195,2010,5,3,5,1,2
PeruExport,Platano,J&T Exportadores,1859,2015,3,4,5,2,2
VirPeru,Naranja,America Exportadores,1597,2019,5,3,4,2,2
America,Platano,Mercado Mundial,1526,2016,1,4,5,3,2
PeruExport,Mango,America Exportadores,1839,2020,2,4,5,3,3
VirPeru,Naranja,Exportadores Mundiales,859,2018,5,3,1,2,3
Alfa,Mango,Mercado Mundial,1776,2016,5,3,5,3,2
America,Palta,Mercado Mundial,2282,2019,1,3,1,3,3
VirPeru,Mandarina,Mercado Mundial,1948,2019,5,3,3,1,3
America,Palta,J&T Exportadores,1959,2010,3,4,4,1,3
FruPeru,Mango,Europa Exportadores,2090,2015,1,4,4,1,2
PeruExport,ArÃ¡ndanos,America Exportadores,2245,2010,4,3,5,2,3
PeruExport,Naranja,America Exportadores,2376,2016,3,4,2,1,3
VirPeru,Palta,J&T Exportadores,1366,2013,2,3,3,1,2
PeruExport,Naranja,America Exportadores,2071,2019,5,3,5,1,3
Alfa,Palta,Europa Exportadores,1098,2016,5,4,3,3,2
VirPeru,Uva,Mercado Mundial,1257,2016,5,4,3,2,3
America,Uva,J&T Exportadores,2109,2019,2,3,2,1,2
VirPeru,Naranja,Mercado Mundial,1876,2016,3,3,2,3,3
AgroPro,ArÃ¡ndanos,Mercado Mundial,1336,2015,5,4,2,2,3
America,Palta,J&T Exportadores,1886,2018,4,3,2,3,3
Alfa,Palta,Europa Exportadores,1650,2013,1,3,5,3,3
FruPeru,Palta,J&T Exportadores,2036,2012,5,4,1,2,3
America,Mango,J&T Exportadores,1012,2019,1,3,3,2,3
AgroPro,Platano,America Exportadores,2383,2012,5,4,1,3,2
Alfa,Mandarina,America Exportadores,2208,2013,4,4,4,1,2
PeruExport,Mango,Mercado Mundial,1902,2019,4,4,5,1,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,2345,2012,5,4,5,3,2
AgroPro,Palta,America Exportadores,1719,2018,2,4,2,3,2
AgroLatina,Naranja,Mercado Mundial,907,2018,5,4,1,3,2
VirPeru,Uva,Exportadores Mundiales,2018,2012,4,3,3,2,2
VirPeru,Platano,Exportadores Mundiales,1290,2019,2,3,4,2,3
AgroLatina,Mandarina,Mercado Mundial,1766,2015,3,4,1,1,3
FruPeru,Mandarina,America Exportadores,1938,2018,2,3,3,1,3
FruPeru,Mango,Europa Exportadores,1904,2013,4,3,5,3,3
America,Naranja,Mercado Mundial,945,2020,3,3,1,1,3
America,Naranja,Europa Exportadores,1043,2016,1,3,3,3,2
America,Platano,Exportadores Mundiales,2033,2010,4,3,1,1,2
VirPeru,Mango,Exportadores Mundiales,1897,2015,3,3,1,3,3
VirPeru,Palta,Europa Exportadores,2106,2010,4,4,4,1,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,872,2010,2,3,4,2,3
America,Platano,Europa Exportadores,1913,2013,4,3,1,3,3
AgroLatina,Uva,J&T Exportadores,1661,2013,2,4,3,2,3
Alfa,Platano,Europa Exportadores,1845,2013,2,3,3,3,3
FruPeru,Platano,Exportadores Mundiales,1252,2014,1,4,2,2,2
FruPeru,Uva,America Exportadores,1354,2015,3,3,5,1,2
Alfa,Naranja,J&T Exportadores,1389,2016,5,3,5,1,2
FruPeru,ArÃ¡ndanos,Europa Exportadores,1789,2016,1,4,1,2,3
America,Mandarina,Exportadores Mundiales,2123,2019,5,3,2,1,2
America,Platano,Exportadores Mundiales,1124,2013,5,3,4,3,2
AgroPro,Naranja,J&T Exportadores,917,2013,2,3,1,1,3
VirPeru,Mango,Mercado Mundial,1508,2018,1,4,5,3,2
